date,series,value
01/12/2020,All construction,1.8
01/01/2021,All construction,1.8
01/02/2021,All construction,1.9
01/03/2021,All construction,1.9
01/04/2021,All construction,2.3
01/05/2021,All construction,3
01/06/2021,All construction,3.5
01/07/2021,All construction,4
01/08/2021,All construction,4.8
01/09/2021,All construction,4.8
01/10/2021,All construction,5.9
01/11/2021,All construction,5.9
01/12/2021,All construction,5.6
01/01/2022,All construction,7.1
01/02/2022,All construction,7
01/03/2022,All construction,7.6
01/04/2022,All construction,9.1
01/05/2022,All construction,10.7
01/06/2022,All construction,10.7
01/07/2022,All construction,10.3
01/08/2022,All construction,9
01/09/2022,All construction,9.7
01/10/2022,All construction,9.4
01/11/2022,All construction,9.2
01/12/2022,All construction,9
01/01/2023,All construction,8.6
01/02/2023,All construction,8.8
01/03/2023,All construction,8.9
01/04/2023,All construction,7.4
01/05/2023,All construction,5.2
01/06/2023,All construction,4.8
01/07/2023,All construction,4.6
01/08/2023,All construction,5
01/09/2023,All construction,3.8
01/10/2023,All construction,2.6
01/11/2023,All construction,2.6
01/12/2023,All construction,2.6
01/01/2024,All construction,1.5
01/02/2024,All construction,1.9
01/03/2024,All construction,1.5
01/01/2014,Infrastructure,3.7
01/02/2014,Infrastructure,1.5
01/03/2014,Infrastructure,0.7
01/04/2014,Infrastructure,-0.4
01/05/2014,Infrastructure,0.1
01/06/2014,Infrastructure,0.5
01/07/2014,Infrastructure,1.1
01/08/2014,Infrastructure,0.8
01/09/2014,Infrastructure,0.8
01/10/2014,Infrastructure,1.6
01/11/2014,Infrastructure,1.1
01/12/2014,Infrastructure,0.3
01/01/2015,Infrastructure,-1.7
01/02/2015,Infrastructure,0.2
01/03/2015,Infrastructure,1.9
01/04/2015,Infrastructure,1
01/05/2015,Infrastructure,1.2
01/06/2015,Infrastructure,0.5
01/07/2015,Infrastructure,0.9
01/08/2015,Infrastructure,1
01/09/2015,Infrastructure,0.4
01/10/2015,Infrastructure,0.8
01/11/2015,Infrastructure,1.3
01/12/2015,Infrastructure,1.6
01/01/2016,Infrastructure,2.5
01/02/2016,Infrastructure,1.8
01/03/2016,Infrastructure,1
01/04/2016,Infrastructure,2.3
01/05/2016,Infrastructure,2
01/06/2016,Infrastructure,2.1
01/07/2016,Infrastructure,-0.1
01/08/2016,Infrastructure,0.4
01/09/2016,Infrastructure,0.5
01/10/2016,Infrastructure,0.5
01/11/2016,Infrastructure,0.6
01/12/2016,Infrastructure,0.9
01/01/2017,Infrastructure,0.2
01/02/2017,Infrastructure,-0.1
01/03/2017,Infrastructure,-0.8
01/04/2017,Infrastructure,-1
01/05/2017,Infrastructure,0
01/06/2017,Infrastructure,-0.3
01/07/2017,Infrastructure,1.7
01/08/2017,Infrastructure,2
01/09/2017,Infrastructure,2.2
01/10/2017,Infrastructure,1.7
01/11/2017,Infrastructure,1.3
01/12/2017,Infrastructure,2.2
01/01/2018,Infrastructure,2.2
01/02/2018,Infrastructure,2.2
01/03/2018,Infrastructure,3.9
01/04/2018,Infrastructure,4.3
01/05/2018,Infrastructure,3.7
01/06/2018,Infrastructure,3.9
01/07/2018,Infrastructure,3.3
01/08/2018,Infrastructure,3
01/09/2018,Infrastructure,3.1
01/10/2018,Infrastructure,3.1
01/11/2018,Infrastructure,3.9
01/12/2018,Infrastructure,3.6
01/01/2019,Infrastructure,3.6
01/02/2019,Infrastructure,4.8
01/03/2019,Infrastructure,4.1
01/04/2019,Infrastructure,4.5
01/05/2019,Infrastructure,4.7
01/06/2019,Infrastructure,6.1
01/07/2019,Infrastructure,6.8
01/08/2019,Infrastructure,7
01/09/2019,Infrastructure,5.2
01/10/2019,Infrastructure,4.5
01/11/2019,Infrastructure,3.6
01/12/2019,Infrastructure,3.7
01/01/2020,Infrastructure,3.8
01/02/2020,Infrastructure,2.5
01/03/2020,Infrastructure,2.1
01/04/2020,Infrastructure,1.5
01/05/2020,Infrastructure,1
01/06/2020,Infrastructure,-0.3
01/07/2020,Infrastructure,-0.7
01/08/2020,Infrastructure,-0.8
01/09/2020,Infrastructure,0.6
01/10/2020,Infrastructure,1.6
01/11/2020,Infrastructure,3.7
01/12/2020,Infrastructure,3.8
01/01/2021,Infrastructure,3.9
01/02/2021,Infrastructure,4.3
01/03/2021,Infrastructure,2.5
01/04/2021,Infrastructure,2.8
01/05/2021,Infrastructure,3.5
01/06/2021,Infrastructure,3.5
